,LIEU_VILLE,LIEU_CODE_POSTAL,LIEU_COORD_GPS_X,LIEU_COORD_GPS_Y,NOM_ZONE,TYPE_LIEU_V2_1,TYPE_LIEU_V2_2,TYPE_DECHET,SURFACE,DATE,VOLUME_TOTAL,dd,ff,t,ww,rr24,rr_weekly,rr_monthly,NB_DECHET_SECTEUR_ALIMENTATION,NB_DECHET_SECTEUR_TABAC,NB_DECHET_SECTEUR_PHARMACEUTIQUE/PARAMÉDICAL,wind_flow,saison
0,Marseille,13008,5.341674173,43.21378629,Anse de la Maronaise,Littoral (terrestre),"Plage (sable, galets, gravillons)",Echoué,58555.27676,2019-05-25,503.0,240.0,2.9,294.85,0.0,0.0,5.1,10.4,108.0,0.0,0.0,SO,pringtemps
1,Marseille,13008,5.342950318,43.21394107,Anse de la Maronaise,Littoral (terrestre),"Espace naturel en arrière plage/côte (calanques, colline …)",Présent au sol (abandonné),152231.8456,2019-05-25,1630.0,240.0,2.9,294.85,0.0,0.0,5.1,10.4,0.0,0.0,0.0,SO,pringtemps
3,Marseille,13015,5.363345,43.353322,La cascade des Aygalades,Cours d'eau,Berge naturelle (hors plage),Présent au sol (abandonné) ou échoué,0.0,2019-05-25,7170.0,240.0,2.9,294.85,0.0,0.0,5.1,10.4,152.0,0.0,0.0,SO,pringtemps
5,Marseille,13008,5.383609466,43.21041466,Podestat,Littoral (terrestre),Digue et ouvrage,Présent au sol (abandonné) ou échoué,41598.35629,2019-05-25,180.0,240.0,2.9,294.85,0.0,0.0,5.1,10.4,28.0,0.0,0.0,SO,pringtemps
6,Marseille,13008,5.364626362,43.21036467,de callelongue a la calanque des queyrons,Littoral (terrestre),Rocher et crique,Présent au sol (abandonné) ou échoué,466524.498,2019-05-25,1200.0,240.0,2.9,294.85,0.0,0.0,5.1,10.4,102.0,0.0,0.0,SO,pringtemps
12,Marseille,13007,5.299445014,43.26971251,Plage de Pomègues,Littoral (terrestre),"Plage (sable, galets, gravillons)",Echoué,299.4126948,2019-07-11,25.95,260.0,5.5,303.15,0.0,0.0,0.5,2.7,1243.0,79.0,8.0,OSO,été
13,Marseille,13007,5.308434218,43.28276022,Morgiret-St Esteve,Littoral (terrestre),Rocher et crique,Présent au sol (abandonné),17229.69281,2019-10-25,20.0,330.0,2.2,292.85,0.0,0.0,122.3,156.5,38.0,0.0,0.0,NO,automne
14,Marseille,13008,5.342977646,43.21485922,Plage de la Maronaise,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,666.9088132,2019-11-06,165.0,310.0,11.5,288.45,0.0,0.2,55.8,125.3,11.0,0.0,0.0,ONO,automne
17,Marseille,13007,5.299433165,43.26969653,Plage de Pomègues,Littoral (terrestre),"Plage (sable, galets, gravillons)",Echoué,230.9682751,2019-09-28,23.2,,,,,,,,329.0,360.0,21.0,,automne
21,Marseille,13008,5.374298692,43.25837627,Plage de l'huveaune,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,58784.6309,2019-11-02,2250.0,10.0,1.4,293.35,0.0,3.0,16.5,72.89999999999999,370.0,1065.0,0.0,N,automne
22,Marseille,13009,5.405664998,43.27226265,Promenade Dromel,Cours d'eau,Berge naturelle (hors plage),Présent au sol (abandonné) ou échoué,24893.73157,2019-10-10,818.0,320.0,11.0,294.75,0.0,0.0,0.2,151.20000000000002,134.0,0.0,0.0,NO,automne
23,Marseille,13007,5.299466051,43.26988419,Plage de Pomègues,Littoral (terrestre),"Plage (sable, galets, gravillons)",Echoué,350.4416353,2019-01-18,209.0,320.0,10.8,282.05,0.0,-0.1,0.9,0.8,2884.0,173.0,36.0,NO,Hiver
