,LIEU_VILLE,LIEU_CODE_POSTAL,LIEU_COORD_GPS_X,LIEU_COORD_GPS_Y,NOM_ZONE,TYPE_LIEU_V2_1,TYPE_LIEU_V2_2,TYPE_DECHET,SURFACE,DATE,VOLUME_TOTAL,dd,ff24,ff_weekly,t,ww,rr24,rr_weekly,rr_monthly,NB_DECHET_SECTEUR_ALIMENTATION,NB_DECHET_SECTEUR_TABAC,NB_DECHET_SECTEUR_PHARMACEUTIQUE/PARAMÉDICAL,wind_flow,saison
0,Marseille,13008,5.341674173,43.21378629,Anse de la Maronaise,Littoral (terrestre),"Plage (sable, galets, gravillons)",Echoué,58555.27676,2019-05-25,503,240.0,28.172054876584678,82.15531944605121,294.85,0.0,0.0,5.1,10.4,108,0,0,SO,Printemps
1,Marseille,13008,5.342950318,43.21394107,Anse de la Maronaise,Littoral (terrestre),"Espace naturel en arrière plage/côte (calanques, colline …)",Présent au sol (abandonné),152231.8456,2019-05-25,1630,240.0,28.172054876584678,82.15531944605121,294.85,0.0,0.0,5.1,10.4,0,0,0,SO,Printemps
2,Marseille,13015,5.363345,43.353322,La cascade des Aygalades,Cours d'eau,Berge naturelle (hors plage),Présent au sol (abandonné) ou échoué,0,2019-05-25,7170,240.0,28.172054876584678,82.15531944605121,294.85,0.0,0.0,5.1,10.4,152,0,0,SO,Printemps
3,Marseille,13008,5.383609466,43.21041466,Podestat,Littoral (terrestre),Digue et ouvrage,Présent au sol (abandonné) ou échoué,41598.35629,2019-05-25,180,240.0,28.172054876584678,82.15531944605121,294.85,0.0,0.0,5.1,10.4,28,0,0,SO,Printemps
4,Marseille,13008,5.364626362,43.21036467,de callelongue a la calanque des queyrons,Littoral (terrestre),Rocher et crique,Présent au sol (abandonné) ou échoué,466524.498,2019-05-25,1200,240.0,28.172054876584678,82.15531944605121,294.85,0.0,0.0,5.1,10.4,102,0,0,SO,Printemps
5,Marseille,13007,5.299445014,43.26971251,Plage de Pomègues,Littoral (terrestre),"Plage (sable, galets, gravillons)",Echoué,299.4126948,2019-07-11,25.95,260.0,25.082653314894365,116.07358129295078,303.15,0.0,0.0,0.5,2.7,1243,79,8,OSO,Eté
6,Marseille,13007,5.308434218,43.28276022,Morgiret-St Esteve,Littoral (terrestre),Rocher et crique,Présent au sol (abandonné),17229.69281,2019-10-25,20,330.0,41.93388798741816,88.00862887331465,292.85,0.0,0.0,122.30000000000001,156.5,38,0,0,NO,Automne
7,Marseille,13008,5.342977646,43.21485922,Plage de la Maronaise,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,666.9088132,2019-11-06,165,310.0,46.69983686673757,186.21382223233988,288.45,0.0,0.2,55.8,125.3,11,0,0,ONO,Automne
9,Marseille,13007,5.299433165,43.26969653,Plage de Pomègues,Littoral (terrestre),"Plage (sable, galets, gravillons)",Echoué,230.9682751,2019-09-28,23.2,,,,,,,,,329,360,21,,Automne
10,Marseille,13008,5.374298692,43.25837627,Plage de l'huveaune,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,58784.6309,2019-11-02,2250,10.0,46.27884164308661,192.29605686416272,293.35,0.0,3.0,16.5,72.9,370,1065,0,N,Automne
11,Marseille,13009,5.405664998,43.27226265,Promenade Dromel,Cours d'eau,Berge naturelle (hors plage),Présent au sol (abandonné) ou échoué,24893.73157,2019-10-10,818,320.0,52.87690670379974,185.76437358606788,294.75,0.0,0.0,0.2,151.2,134,0,0,NO,Automne
12,Marseille,13007,5.299466051,43.26988419,Plage de Pomègues,Littoral (terrestre),"Plage (sable, galets, gravillons)",Echoué,350.4416353,2019-01-18,209,320.0,57.419732657703285,194.4394777409842,282.05,0.0,-0.1,0.9,0.8,2884,173,36,NO,Hiver
13,Marseille,13007,5.299443687,43.2698263,Plage de Pomègues,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné),594.7634494,2020-01-11,60,280.0,24.627714639432153,157.63280500839437,284.55,0.0,0.0,6.6000000000000005,11.6,630,55,44,O,Hiver
14,Marseille,13007,5.370166351,43.28407681,Notre Dame de la Garde,Zone urbaine,"Route, rue, place",Présent au sol (abandonné),10437.50852,2020-02-16,12750,130.0,18.905537132565968,105.93334508269409,287.35,0.0,0.0,0.4,0.5,689,20000,0,SE,Hiver
15,Marseille,13007,5.362156642,43.2730959,Plage du prophète,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné),5405.713779,2020-02-03,120,310.0,26.71503169731454,98.89944525425123,292.95,0.0,0.0,0.1,8.9,0,0,0,ONO,Hiver
16,Marseille,13007,5.36219827,43.27310962,Plage du prophète,Littoral (terrestre),"Plage (sable, galets, gravillons)",Présent au sol (abandonné) ou échoué,4349.995379,2020-02-11,40,280.0,20.595343334624072,102.95244277041569,287.65,0.0,0.0,0.0,0.0,0,0,0,O,Hiver
17,Marseille,13008,5.34295543,43.2148581,Anse de la maronnaise,Littoral (terrestre),"Plage (sable, galets, gravillons)",Echoué,68.8541767,2020-02-19,163,300.0,31.414943571431813,108.22823122832462,286.95,0.0,0.0,2.1999999999999997,2.3,3,0,0,ONO,Hiver
